# status	id	lane	stage	title	task_file	notes
done	S1-MEM-001	shared	S1	Typed memory schema and metadata scaffold	automation/tasks/S1-MEM-001.md	Added types.zig with MemoryKind, MemoryTier, SourceMeta, TypedRecord; exported from root.zig; 9/9 tests pass
done	S1-TOOL-001	shared	S1	Tool reliability wrapper skeleton with retries/timeouts	automation/tasks/S1-TOOL-001.md	Added reliability.zig with ToolPolicy, BackoffConfig, RetryableErrors, ToolHealth, ReliableResult, reliableExecute; exported from root.zig; syntax-valid (zig ast-check); zig build test blocked by pre-existing doctor.zig:572 error
done	S1-AGENT-001	shared	S1	Persistent task state machine scaffold	automation/tasks/S1-AGENT-001.md	Added tasks.zig with TaskStatus, TaskPriority, StepRecord, TaskRecord; exported from root.zig; 14/14 tests pass
done	S1-OBS-001	shared	S1	Structured event timeline primitives and file sink	automation/tasks/S1-OBS-001.md	Added events.zig with EventSeverity, EventKind, TimelineEvent (with JSONL formatter); added events_store.zig with EventStore JSONL append sink; exported from root.zig; 18/18 tests pass
done	S1-SEC-001	shared	S1	Explainable policy deny reasons and audit event hook	automation/tasks/S1-SEC-001.md	Added DenyReason enum, PolicyDenial struct, DenyHookFn callback; checkCommand returns structured denials; checkCommandExecution union result; isCommandAllowed/validateCommandExecution preserved as wrappers; exported from security/root.zig; 116/116 tests pass
done	S2-MEM-001	shared	S2	Episodic vs semantic split plus confidence decay primitives	automation/tasks/S2-MEM-001.md	Added decay.zig with exponential half-life decay, recency scoring, combined relevance; kind-specific half-lives (semantic=720h, episodic=48h, procedural=168h); tier multipliers (pinned=inf, standard=1x, ephemeral=0.25x); exported from root.zig; 31/31 decay tests pass; integration TODOs documented
done	S2-TOOL-001	shared	S2	Tool cache and circuit breaker framework	automation/tasks/S2-TOOL-001.md	Added CacheKey, CacheEntry, CacheConfig, ToolCache (in-memory store with TTL/eviction); CircuitBreaker state machine (closed/open/half_open) with CircuitBreakerConfig; 20 new tests; syntax-valid (zig ast-check); zig build test blocked by pre-existing doctor.zig:572 error
done	S2-AGENT-001	shared	S2	Verifier hook and step-level retry policy	automation/tasks/S2-AGENT-001.md	Added StepBackoffStrategy, StepRetryPolicy (computeDelay/shouldRetry), VerifyOutcome, VerifyResult, VerifierHookFn, VerifierConfig (config-gated, disabled by default); 35/35 tests pass
done	S2-OBS-001	shared	S2	Replay mode skeleton and budget metrics summary	automation/tasks/S2-OBS-001.md	Added replay.zig with ReplayEvent, ReplayFilter, ReplaySessionSummary, ReplayReader (JSONL parser/scanner); added budget_summary.zig with LatencyStats, BudgetMetrics, buildMetrics, formatReport; exported from root.zig; 26/26 new tests pass
done	S2-SEC-001	shared	S2	Secret scoping and per-workspace approval policy config	automation/tasks/S2-SEC-001.md	Added scope.zig with SecretScope, ScopedSecret (visibility checks, JSONL serialization), WorkspaceApprovalPolicy (effective* helpers with tighten-only clamping), WorkspacePolicyConfig (string-to-enum resolver); lookup helpers findWorkspacePolicy/findVisibleSecret/isSecretVisible; config types in config_types.zig (SecretScopeConfig, WorkspacePolicyEntry, SecurityConfig extensions); exported from security/root.zig; 32/32 new tests pass (148 total)
done	H1-PLAT-001	huginn	H1	Software-only Pi profile defaults and doctor noise reduction	automation/tasks/H1-PLAT-001.md	Added DoctorProfile enum (full/software_only) and DoctorConfig; doctor.profile defaults to software_only, skipping hardware checks; fixed pre-existing checkSandbox catch-expression syntax errors; added 4 new doctor tests; added docs/pi-software-only.md; zig ast-check passes; zig build test blocked by pre-existing reliability.zig API errors
done	H2-MEM-001	huginn	H2	Huginn memory hub snapshot import/export pipeline skeleton	automation/tasks/H2-MEM-001.md	Added hub_snapshot.zig with SCHEMA_VERSION=1, HubSnapshotMeta/HubSnapshotEntry/HubSnapshot types, serializeSnapshot/exportHubSnapshot/importHubSnapshot pipeline, ImportResult; 15 inline tests; exported from memory/root.zig; zig ast-check passes; zig build test blocked by pre-existing peripherals.zig/reliability.zig errors
done	H3-ORCH-001	huginn	H3	Planner executor verifier orchestration pipeline for daemon tasks	automation/tasks/H3-ORCH-001.md	Added orchestrator.zig with PipelinePhase, StepPlan, PlannerResult, ExecuteResult, PlannerFn/ExecutorFn hooks, PipelineConfig (disabled by default), PipelineState (phase transitions/progress); exported from root.zig; 23 new tests pass (58 total with tasks.zig)
done	X1-SYNC-001	sync	X1	Shared sync protocol types and schema versioning	automation/tasks/X1-SYNC-001.md	Added sync/types.zig (NodeId, SequenceNum, Timestamp, DeltaKind, DeltaOp, DeltaHeader, SyncCursor) and sync/protocol.zig (MemoryDelta, TaskDelta, EventDelta, SyncMessage with validation, convenience constructors); exported from sync/root.zig and root.zig; docs/sync-protocol.md skeleton; 31/31 tests pass
pending	X2-SYNC-001	sync	X2	Conflict resolution policy implementation skeleton	automation/tasks/X2-SYNC-001.md	-
pending	X3-SYNC-001	sync	X3	Federated task routing handshake and heartbeat message flow	automation/tasks/X3-SYNC-001.md	-
